address,in_wallet,staked,unstaking,in_terraswap_mars_ust_pair,in_astroport_mars_ust_pair,in_astroport_xmars_mars_pair,in_generator,in_apollo,in_spec,in_auction,in_council,total
terra1kwztthcj56ync3vuuw9xa9r64w6l7t5klv4ky9,0,24237240595,0,0,0,0,18834425000,0,0,25579398285,0,68651063880
terra1kc0t5kgzpe5ez09mq9v7dk805z7wd24x3y0yg5,66015336056,0,0,0,0,0,0,0,0,0,0,66015336056
terra1kxln7cd8r29taqgtgtgta95nd54asy4kf53z39,0,1002199957,0,0,0,0,51152395113,0,0,13858806674,0,66013401744
terra17agq7uw5s6y3l2vkht3vh3vhv5h6z8hs0ll02c,23045446248,0,0,0,13639823221,0,0,0,0,29064309776,0,65749579245
terra1e66g47axnt2uawz4qj9kv0r54sy3y5g90m9upf,56635192390,4218628157,4105362584,0,0,0,0,0,0,0,0,64959183131
terra1z7h3uvq8nnvuqhj6naa039kexkrkudmpndecqj,211553447,0,63389594286,0,0,0,0,0,0,1068304285,0,64669452018
terra1630a075nncsgu683vyqx9y0ujjfgfs7zt9k64k,64443091211,0,0,0,0,0,0,0,0,0,0,64443091211
terra1uq3wwn9dm3zrnk6gzzv36grmunjdh395nvj3nr,24989391216,34489111395,0,0,0,0,0,0,0,3857757419,0,63336260031
terra17tzdkmyy59v8c84wqrwj79smv8e0clukfe5e83,62890111333,0,0,0,0,0,0,0,0,0,0,62890111333
terra1p9mn5hnreupyxxvagzyyrp4qkqu6z322wjajpz,23846196373,0,0,0,0,0,31843407928,0,0,7088675236,0,62778279537
terra167jx0cs890ak7ktrcfzrm95ynvdw0hn8e4e622,0,0,62293887969,0,0,0,0,0,0,0,0,62293887969
terra1cw2p9zsygczg90dtm0rxkh9hmlw6mg4supcylp,61866354178,0,0,0,0,0,0,0,0,0,0,61866354178
terra1q2q2he29sj7s9fwdql783a90qg29swx9csfp74,35029406624,0,0,0,0,0,0,0,0,26702977302,0,61732383926
terra1srhzr4s6k3fqx2mzrfpwjz6ffy7t6j6xh65fad,72978,36113515416,0,0,0,0,10418007542,0,0,13793003290,0,60324599226
terra1q6p79rm7udfvw2dp0xaddl8tkl2q9yht08hj3n,0,0,0,0,0,0,9713389665,0,0,50576054676,0,60289444340
terra1fzejatmwtazh294mnl4qwh33ytxcd93mmv0wah,60000468959,0,0,0,0,0,0,0,0,0,0,60000468959
